Submission ID,What is your age?,How many cups of coffee do you typically drink per day?,Where do you typically drink coffee?,How do you brew coffee at home?,How else do you brew coffee at home?,"On the go, where do you typically purchase coffee?",Where else do you purchase coffee?,What is your favorite coffee drink?,Please specify what your favorite coffee drink is,Do you usually add anything to your coffee?,What else do you add to your coffee?,What kind of dairy do you add?,"Before today's tasting, which of the following best described what kind of coffee you like?",How strong do you like your coffee?,What roast level of coffee do you prefer?,How much caffeine do you like in your coffee?,"Lastly, how would you rate your own coffee expertise?","Between Coffee A, Coffee B, and Coffee C which did you prefer?","Between Coffee A and Coffee D, which did you prefer?","Lastly, what was your favorite overall coffee?",Do you work from home or in person?,"In total, much money do you typically spend on coffee in a month?",Other reason for drinking coffee,Do you like the taste of coffee?,Do you know where your coffee comes from?,What is the most you've ever paid for a cup of coffee?,What is the most you'd ever be willing to pay for a cup of coffee?,Do you feel like you’re getting good value for your money when you buy coffee at a cafe?,Approximately how much have you spent on coffee equipment in the past 5 years?,Do you feel like you’re getting good value for your money with regards to your coffee equipment?,Gender,Education Level,Ethnicity/Race,Employment Status,Number of Children,Political Affiliation
9dJ0qG,25-34 years old,1,At home,Pour over,,,,Pourover,,No - just black,,,Fruity,Medium,Light,Full caffeine,5,Coffee A,Coffee D,Coffee D,I primarily work from home,$20-$40,,Yes,Yes,$10-$15,$15-$20,No,$100-$300,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,1,Democrat
PABN1x,25-34 years old,3,At home,"Pour over, Espresso, Coffee brewing machine (e.g. Mr. Coffee)",,,,Cappuccino,,No - just black,,,Caramalized,Medium,Medium,Full caffeine,6,Coffee B,Coffee D,Coffee B,I do a mix of both,$20-$40,,Yes,Yes,$6-$8,$8-$10,No,$500-$1000,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,None,Democrat
8dpDDk,25-34 years old,1,"At a cafe, At home",Pour over,,,,Cappuccino,,No - just black,,,Fruity,Somewhat strong,Light,Full caffeine,6,Coffee A,Coffee D,Coffee D,I primarily work from home,$80-$100,,Yes,Yes,$8-$10,More than $20,No,$300-$500,Yes,Male,,,,,
qA2y0O,18-24 years old,2,"At home, At a cafe, On the go","Pour over, Espresso, Instant coffee",,"Local cafe, Specialty coffee shop",,Mocha,,"Milk, dairy alternative, or coffee creamer",,Whole milk,Full Bodied,Very strong,French,Full caffeine,4,Coffee A,Coffee D,Coffee A,,,,,,,,,,,,,,,,
V0ELg6,25-34 years old,,At home,Pod/capsule machine (e.g. Keurig/Nespresso),,,,Regular drip coffee,,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",,Coffee creamer,Caramalized,Somewhat strong,Medium,Full caffeine,5,,,,,,,,,,,,,,,,,,,
zKQ8Qg,35-44 years old,3,At home,"Pour over, Espresso",,,,Espresso,,No - just black,,,Fruity,Medium,Light,Full caffeine,7,,,,,,,,,,,,,,,,,,,
VZ1WYN,25-34 years old,2,At home,Pour over,,,,Regular drip coffee,,"Milk, dairy alternative, or coffee creamer, No - just black",,Whole milk,Floral,Medium,Light,Full caffeine,7,Coffee A,Coffee A,Coffee A,I primarily work from home,$20-$40,,Yes,Yes,$4-$6,$6-$8,No,$100-$300,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,None,Democrat
jB98W1,45-54 years old,2,"At the office, At home","Pour over, Espresso",,,,Latte,,"Milk, dairy alternative, or coffee creamer",,Whole milk,Bold,Medium,Medium,Full caffeine,6,,,,,,,,,,,,,,,,,,,
24x9Rj,18-24 years old,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rlr82o,25-34 years old,3,"At a cafe, At home, At the office, On the go","Pour over, Cold brew",,Specialty coffee shop,,Cortado,,No - just black,,,Floral,Medium,Light,Full caffeine,6,,,,,,,,,,,,,,,,,,,
QABNj7,25-34 years old,2,"At home, At the office",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vNx8El,35-44 years old,3,At home,"Pour over, Espresso",,,,Espresso,,No - just black,,,Fruity,Medium,Nordic,Full caffeine,8,Coffee A,Coffee D,Coffee D,,,,,,,,,,,,,,,,
jB98WY,25-34 years old,2,"At the office, At home, On the go","Pour over, Espresso",,Specialty coffee shop,,Pourover,,No - just black,,,Chocolatey,Medium,Light,Full caffeine,6,Coffee C,Coffee A,Coffee C,I primarily work in person,$20-$40,,Yes,Yes,$8-$10,$8-$10,No,$500-$1000,Yes,Female,Doctorate or professional degree,White/Caucasian,Employed full-time,None,No affiliation
LdM4Op,25-34 years old,2,At home,"Pour over, Espresso",,,,Pourover,,No - just black,,,Nutty,Somewhat strong,Medium,Full caffeine,5,,,,,,,,,,,,,,,,,,,
qbE8gG,25-34 years old,1,At home,,,,,Pourover,,No - just black,,,,,,,,,,,,,,,,,,,,,,,,,,
bl41zZ,18-24 years old,1,At home,Pour over,,,,Pourover,,No - just black,,,Sweet,Medium,Light,Full caffeine,7,Coffee B,Coffee D,Coffee D,,,,,,,,,,,,,,,,
xdN8yk,25-34 years old,More than 4,"At home, At the office","Pour over, Espresso",,,,Iced coffee,,No - just black,,,Floral,Somewhat strong,Light,Full caffeine,6,Coffee B,Coffee A,Coffee B,I primarily work in person,$40-$60,,Yes,Yes,$10-$15,$10-$15,Yes,"More than $1,000",Yes,Male,Master's degree,White/Caucasian,Employed full-time,None,Democrat
rlr8LX,45-54 years old,1,"At home, On the go","Pod/capsule machine (e.g. Keurig/Nespresso), Cold brew",,"Specialty coffee shop, National chain (e.g. Starbucks, Dunkin)",,Cold brew,,"Flavor syrup, Sugar or sweetener, Milk, dairy alternative, or coffee creamer",,Oat milk,Chocolatey,Somewhat strong,Medium,Full caffeine,6,Coffee B,Coffee A,Coffee B,I primarily work from home,$40-$60,,Yes,Yes,$6-$8,$6-$8,No,$50-$100,Yes,Male,Bachelor's degree,Asian/Pacific Islander,Employed full-time,None,Independent
jB98ga,25-34 years old,1,At home,Pod/capsule machine (e.g. Keurig/Nespresso),,,,Regular drip coffee,,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",,,,,,,,,,,,,,,,,,,,,,,,,,
pLPY01,45-54 years old,2,At home,Coffee brewing machine (e.g. Mr. Coffee),,,,Mocha,,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",,Half and half,Bright,Medium,Light,Full caffeine,7,Coffee A,Coffee D,Coffee D,,,,,,,,,,,,,,,,
GrBODO,>65 years old,More than 4,At home,Bean-to-cup machine,,,,Regular drip coffee,,No - just black,,,Full Bodied,Somewhat strong,Medium,Full caffeine,6,Coffee A,Coffee A,Coffee A,I primarily work from home,$20-$40,,Yes,Yes,$6-$8,$2-$4,No,"More than $1,000",Yes,Female,Doctorate or professional degree,White/Caucasian,Retired,2,Democrat
7d97a0,25-34 years old,1,At home,Pour over,,,,Iced coffee,,No - just black,,,Caramalized,Somewhat strong,Light,Full caffeine,6,Coffee A,Coffee D,Coffee D,I primarily work from home,$20-$40,,Yes,Yes,$8-$10,$8-$10,Yes,$100-$300,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,None,Democrat
WApale,45-54 years old,1,"At home, At the office",Bean-to-cup machine,,,,Americano,,No - just black,,,Caramalized,Somewhat strong,Medium,Full caffeine,7,Coffee B,Coffee A,Coffee B,I primarily work from home,$20-$40,,Yes,Yes,$10-$15,$15-$20,No,"More than $1,000",Yes,Male,Master's degree,White/Caucasian,Employed full-time,1,Democrat
0EjqlN,35-44 years old,,"At home, On the go, At the office",Coffee brewing machine (e.g. Mr. Coffee),,"National chain (e.g. Starbucks, Dunkin)",,Regular drip coffee,,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",,Oat milk,,,,,,,,,,,,,,,,,,,,,,,,
oAV8dN,25-34 years old,2,At home,Pour over,,,,Americano,,No - just black,,,Chocolatey,Very strong,Medium,Full caffeine,7,Coffee C,Coffee A,Coffee C,I primarily work from home,$40-$60,,Yes,Yes,$10-$15,More than $20,Yes,"More than $1,000",Yes,Male,Doctorate or professional degree,White/Caucasian,Employed full-time,None,Democrat
0Ejqaj,25-34 years old,2,At home,Pour over,,,,Pourover,,No - just black,,,Chocolatey,Somewhat strong,Medium,Full caffeine,6,Coffee A,Coffee A,Coffee A,,,,,,,,,,,,,,,,
5dqaeZ,25-34 years old,3,"At home, At a cafe","Pour over, Espresso",,,,Pourover,,No - just black,,,Chocolatey,Very strong,Dark,Full caffeine,6,Coffee C,Coffee D,Coffee C,I primarily work from home,$80-$100,,Yes,Yes,$15-$20,More than $20,No,"More than $1,000",Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,None,No affiliation
g5N8v4,35-44 years old,2,"At the office, At home","Espresso, Coffee brewing machine (e.g. Mr. Coffee)",,,,Americano,,No - just black,,,Fruity,Somewhat strong,Light,Full caffeine,8,Coffee A,Coffee D,Coffee D,I do a mix of both,$60-$80,,Yes,Yes,$6-$8,$8-$10,Yes,"More than $1,000",Yes,Male,Master's degree,White/Caucasian,Employed full-time,2,
oAV8lb,35-44 years old,1,At home,"Pour over, French press, Cold brew",,,,Cappuccino,,No - just black,,,Floral,Somewhat strong,Light,Full caffeine,5,Coffee A,Coffee A,Coffee A,I do a mix of both,$40-$60,,Yes,Yes,$8-$10,$10-$15,No,$50-$100,Yes,Male,Doctorate or professional degree,Asian/Pacific Islander,Employed full-time,None,Democrat
AlbMyz,55-64 years old,2,At home,Coffee brewing machine (e.g. Mr. Coffee),,,,Regular drip coffee,,No - just black,,,Full Bodied,Somewhat strong,Medium,Full caffeine,7,Coffee A,Coffee A,Coffee A,,,,,,,,,,,,,,,,
jB9871,45-54 years old,2,At home,Pour over,,,,Regular drip coffee,,"Milk, dairy alternative, or coffee creamer",,Skim milk,Fruity,Somewhat strong,Medium,Full caffeine,6,Coffee B,Coffee D,Coffee D,I primarily work from home,$40-$60,,Yes,Yes,$8-$10,$4-$6,No,$100-$300,Yes,Male,Some college or associate's degree,White/Caucasian,Employed full-time,2,Democrat
9dJA2E,18-24 years old,1,At home,Coffee brewing machine (e.g. Mr. Coffee),,,,Pourover,,No - just black,,,Fruity,Somewhat strong,Light,Full caffeine,8,Coffee A,Coffee D,Coffee D,I primarily work in person,$20-$40,,Yes,Yes,$10-$15,More than $20,No,"More than $1,000",Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,None,Democrat
PABZBx,25-34 years old,1,"At the office, At home","Pour over, French press",,,,Pourover,,No - just black,,,Fruity,Somewhat strong,Light,Full caffeine,6,Coffee B,Coffee D,Coffee B,I do a mix of both,$20-$40,,Yes,Yes,$4-$6,$8-$10,Yes,$500-$1000,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,None,Republican
DVvRWR,25-34 years old,1,At home,"Espresso, Pour over",,,,Cortado,,No - just black,,,Fruity,Medium,Light,Full caffeine,9,Coffee A,Coffee D,Coffee D,I primarily work from home,$40-$60,,Yes,Yes,$6-$8,$6-$8,No,"More than $1,000",Yes,Male,Bachelor's degree,Asian/Pacific Islander,Employed full-time,None,Independent
dY2JDV,25-34 years old,4,"At home, At a cafe, At the office","Pour over, Coffee brewing machine (e.g. Mr. Coffee), Pod/capsule machine (e.g. Keurig/Nespresso), Instant coffee",,,,Americano,,No - just black,,,Floral,Somewhat light,Light,Full caffeine,4,Coffee A,Coffee D,Coffee D,I primarily work from home,>$100,,Yes,Yes,$4-$6,$4-$6,No,$500-$1000,Yes,Male,Doctorate or professional degree,Hispanic/Latino,Employed full-time,None,No affiliation
bl41Y1,25-34 years old,1,"At home, At the office","Pour over, Coffee brewing machine (e.g. Mr. Coffee), Pod/capsule machine (e.g. Keurig/Nespresso)",,,,Cappuccino,,"Milk, dairy alternative, or coffee creamer",,"Coffee creamer, Flavored coffee creamer",Juicy,Somewhat strong,Medium,Decaf,4,Coffee B,Coffee A,Coffee B,I do a mix of both,<$20,,Yes,Yes,$2-$4,$2-$4,Yes,$50-$100,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,None,Democrat
rlr8vR,25-34 years old,2,"At home, On the go","Espresso, Pour over, Cold brew",,Specialty coffee shop,,Pourover,,No - just black,,,Juicy,Somewhat strong,Light,Full caffeine,6,Coffee A,Coffee D,Coffee D,I primarily work from home,$80-$100,,Yes,Yes,$10-$15,$10-$15,Yes,"More than $1,000",Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,None,Democrat
xdN89d,45-54 years old,3,"At home, At a cafe","Pour over, Pod/capsule machine (e.g. Keurig/Nespresso), French press",,,,Pourover,,"No - just black, Milk, dairy alternative, or coffee creamer",,Almond milk,Fruity,Medium,Light,Full caffeine,5,Coffee A,Coffee A,Coffee A,I primarily work from home,$40-$60,,Yes,Yes,$8-$10,$8-$10,No,$500-$1000,Yes,Male,Some college or associate's degree,White/Caucasian,Employed full-time,2,No affiliation
kYR8Jo,35-44 years old,2,At home,"Pour over, Espresso",,,,Pourover,,No - just black,,,Fruity,Medium,Light,Full caffeine,8,Coffee A,Coffee D,Coffee D,I primarily work from home,$80-$100,,Yes,Yes,$15-$20,$15-$20,Yes,$500-$1000,Yes,Male,Doctorate or professional degree,White/Caucasian,Employed full-time,None,Democrat
YZz7xW,25-34 years old,1,At home,"Coffee extract (e.g. Cometeer), Pour over, French press",,,,Pourover,,No - just black,,,Floral,Medium,Light,Full caffeine,5,Coffee C,Coffee D,Coffee D,I primarily work from home,$60-$80,,Yes,Yes,$10-$15,$8-$10,Yes,"More than $1,000",Yes,Male,High school graduate,Hispanic/Latino,Employed full-time,None,Democrat
RzBq29,35-44 years old,1,At home,Pour over,,,,Pourover,,No - just black,,,Nutty,,Light,Full caffeine,4,Coffee C,Coffee A,Coffee C,,,,,,,,,,,,,,,,
24x9DD,35-44 years old,2,"At a cafe, At home","Pour over, French press, Espresso, Coffee brewing machine (e.g. Mr. Coffee), Coffee extract (e.g. Cometeer), Cold brew",,,,Regular drip coffee,,No - just black,,,Fruity,Medium,Light,Full caffeine,10,,,,,,,,,,,,,,,,,,,
rlr8k2,35-44 years old,1,"At home, On the go","Pour over, Espresso",,Drive-thru,,Pourover,,No - just black,,,Fruity,Medium,Light,Decaf,6,Coffee A,Coffee A,Coffee A,I primarily work in person,$20-$40,,Yes,Yes,$6-$8,$8-$10,Yes,$300-$500,Yes,Male,Some college or associate's degree,White/Caucasian,Employed full-time,1,No affiliation
7d97ER,25-34 years old,1,At home,Other,moka pot,,,Other,flat white,No - just black,,,Nutty,Somewhat strong,Light,Full caffeine,7,Coffee A,Coffee A,Coffee A,I primarily work in person,$20-$40,,Yes,Yes,$6-$8,$8-$10,Yes,$100-$300,Yes,Male,,,,,
GrBOBO,25-34 years old,2,At home,"Espresso, Coffee brewing machine (e.g. Mr. Coffee)",,,,Cold brew,,No - just black,,,Full Bodied,Somewhat strong,Medium,Full caffeine,7,Coffee C,Coffee A,Coffee C,I primarily work from home,$40-$60,,Yes,Yes,$8-$10,$10-$15,Yes,"More than $1,000",Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,None,No affiliation
42NlPr,25-34 years old,3,"At a cafe, At the office, On the go, At home","Pour over, French press, Cold brew, Other",Immersion (aeropress),"Local cafe, Specialty coffee shop",,Pourover,,No - just black,,,Full Bodied,Medium,Light,Full caffeine,8,Coffee C,Coffee D,Coffee B,I primarily work in person,$40-$60,,Yes,Yes,$10-$15,More than $20,Yes,$500-$1000,Yes,Male,Some college or associate's degree,White/Caucasian,Employed full-time,None,Independent
XeB6OP,25-34 years old,1,"At home, On the go, At the office, At a cafe",Espresso,,Local cafe,,Latte,,"Milk, dairy alternative, or coffee creamer, Flavor syrup",,Oat milk,Fruity,Medium,Light,Full caffeine,6,Coffee A,Coffee D,Coffee D,I do a mix of both,$40-$60,,Yes,Yes,$8-$10,$8-$10,Yes,$50-$100,Yes,Female,Master's degree,White/Caucasian,Employed full-time,None,Democrat
VZ1W4y,25-34 years old,More than 4,"At home, At the office, At a cafe","Espresso, Pour over",,,,Espresso,,No - just black,,,Fruity,Very strong,Light,Full caffeine,10,Coffee A,Coffee A,Coffee A,I primarily work from home,>$100,,Yes,Yes,More than $20,More than $20,Yes,"More than $1,000",Yes,Male,Less than high school,White/Caucasian,Employed full-time,None,Democrat
kYR8ve,25-34 years old,2,"At the office, At home",Pour over,,,,Regular drip coffee,,No - just black,,,Caramalized,Very strong,Medium,Full caffeine,6,Coffee A,Coffee A,Coffee A,I do a mix of both,$20-$40,,Yes,Yes,$10-$15,$10-$15,Yes,$100-$300,Yes,Male,Master's degree,Black/African American,Employed full-time,None,Democrat
YZz7oN,35-44 years old,2,"At the office, At home","Pour over, Espresso",,,,Pourover,,No - just black,,,Bright,Very strong,Light,Full caffeine,7,Coffee A,Coffee D,Coffee D,I do a mix of both,$20-$40,,Yes,Yes,$8-$10,$8-$10,Yes,$500-$1000,Yes,Male,Some college or associate's degree,White/Caucasian,Employed full-time,None,Democrat
OABxYM,25-34 years old,2,"At home, At the office, On the go","Pour over, French press, Pod/capsule machine (e.g. Keurig/Nespresso)",,"National chain (e.g. Starbucks, Dunkin), Local cafe, Specialty coffee shop",,Cortado,,"No - just black, Milk, dairy alternative, or coffee creamer",,Whole milk,Chocolatey,Somewhat strong,Light,Full caffeine,6,Coffee C,Coffee A,Coffee C,I do a mix of both,$20-$40,,Yes,Yes,$8-$10,$10-$15,Yes,$100-$300,Yes,Male,Master's degree,White/Caucasian,Employed full-time,None,Independent
xdN8lv,18-24 years old,1,At the office,,,,,Cappuccino,,No - just black,,,Fruity,Medium,Light,Full caffeine,4,Coffee C,Coffee D,Coffee C,I primarily work in person,<$20,,Yes,No,$4-$6,$8-$10,Yes,$100-$300,Yes,Male,Some college or associate's degree,White/Caucasian,Employed full-time,None,No affiliation
eBxgYk,25-34 years old,1,"At home, At a cafe",Espresso,,,,Latte,,"Milk, dairy alternative, or coffee creamer",,Whole milk,Sweet,Somewhat light,Light,Full caffeine,3,Coffee C,Coffee A,Coffee D,I do a mix of both,$40-$60,,Yes,Yes,$6-$8,$6-$8,Yes,$300-$500,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,None,Democrat
RzBqj9,25-34 years old,2,At home,"Pour over, Cold brew, Coffee brewing machine (e.g. Mr. Coffee)",,,,Iced coffee,,"Milk, dairy alternative, or coffee creamer, No - just black, Flavor syrup",,"Oat milk, Flavored coffee creamer",Chocolatey,Medium,Medium,Full caffeine,3,Coffee A,Coffee A,Coffee A,I primarily work in person,<$20,,Yes,No,$4-$6,$4-$6,No,$500-$1000,Yes,Female,High school graduate,White/Caucasian,Employed part-time,None,No affiliation
1r2QGg,35-44 years old,2,At home,"Pour over, Espresso, French press",,,,Pourover,,No - just black,,,Bright,Somewhat strong,Light,Full caffeine,8,Coffee A,Coffee D,Coffee D,I primarily work from home,$60-$80,,Yes,Yes,$8-$10,$6-$8,No,$500-$1000,Yes,Male,,,,,
pLPYZJ,45-54 years old,2,At home,Pour over,,,,Pourover,,No - just black,,,Fruity,Somewhat light,Light,Full caffeine,8,Coffee A,Coffee D,Coffee D,I do a mix of both,,,,,,,,,,,,,,,
MAdj6k,18-24 years old,3,"At home, At a cafe","Pour over, Espresso",,,,Espresso,,No - just black,,,Juicy,Somewhat strong,Nordic,Full caffeine,8,Coffee A,Coffee D,Coffee D,I primarily work from home,>$100,,Yes,Yes,More than $20,More than $20,No,"More than $1,000",Yes,Male,High school graduate,White/Caucasian,Employed full-time,None,Democrat
OABxER,18-24 years old,1,At home,Pour over,,,,Cappuccino,,No - just black,,,Fruity,Somewhat strong,Light,Decaf,4,Coffee B,Coffee D,Coffee A,I primarily work in person,$20-$40,,Yes,No,$8-$10,$8-$10,Yes,$50-$100,Yes,Male,Bachelor's degree,Asian/Pacific Islander,Student,None,Democrat
BGbJ0K,25-34 years old,2,At home,"Pour over, Espresso",,,,Cappuccino,,No - just black,,,Fruity,Medium,Medium,Full caffeine,5,Coffee C,Coffee A,Coffee C,I do a mix of both,$20-$40,,Yes,Yes,$8-$10,$10-$15,Yes,$500-$1000,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,1,Democrat
qbE8jO,45-54 years old,More than 4,"At home, At the office",Pour over,,,,Pourover,,No - just black,,,Bright,Medium,Medium,Full caffeine,5,Coffee B,Coffee D,Coffee D,I primarily work in person,$40-$60,,Yes,Yes,$8-$10,Less than $2,Yes,$500-$1000,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,None,No affiliation
kYR8ze,>65 years old,1,"At the office, At a cafe",,,,,Latte,,"Milk, dairy alternative, or coffee creamer",,Almond milk,Fruity,Medium,Medium,Full caffeine,6,Coffee B,Coffee A,Coffee B,I primarily work in person,>$100,,Yes,Yes,$6-$8,$6-$8,,$100-$300,Yes,Male,Bachelor's degree,Asian/Pacific Islander,Employed part-time,None,Democrat
GrBODQ,45-54 years old,More than 4,"At the office, At home","Pour over, French press, Coffee brewing machine (e.g. Mr. Coffee)",,,,Regular drip coffee,,No - just black,,,Bold,Very strong,Dark,Full caffeine,5,Coffee A,Coffee A,Coffee D,I do a mix of both,$20-$40,,Yes,Yes,$4-$6,$4-$6,Yes,$100-$300,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,None,Democrat
vNx8KD,35-44 years old,2,"At the office, At home","Pour over, Cold brew, Other",Aero press,,,Pourover,,No - just black,,,Bright,Medium,Light,Full caffeine,8,Coffee C,Coffee A,Coffee C,I do a mix of both,$40-$60,,Yes,Yes,$10-$15,$10-$15,Yes,$300-$500,Yes,Male,Bachelor's degree,Black/African American,Employed full-time,None,No affiliation
oAV8VN,35-44 years old,1,At home,"Pour over, Cold brew, Coffee brewing machine (e.g. Mr. Coffee), Espresso",,,,Regular drip coffee,,No - just black,,,Juicy,Medium,Light,Full caffeine,5,Coffee A,Coffee D,Coffee D,I primarily work from home,$20-$40,,Yes,Yes,$6-$8,$4-$6,Yes,$300-$500,Yes,Male,Bachelor's degree,Hispanic/Latino,Employed full-time,None,Democrat
VZ1Wxg,35-44 years old,2,"At the office, On the go, At home",Pour over,,"Specialty coffee shop, Local cafe",,Pourover,,No - just black,,,Bright,Medium,Light,Full caffeine,7,Coffee A,Coffee A,Coffee A,I primarily work in person,$40-$60,,Yes,Yes,$10-$15,$10-$15,No,$500-$1000,Yes,Male,Doctorate or professional degree,White/Caucasian,Employed full-time,2,Independent
24x9Oe,25-34 years old,2,"At home, At a cafe, On the go, At the office","Pour over, Espresso, Cold brew",,"Specialty coffee shop, Local cafe",,Pourover,,No - just black,,,Fruity,Medium,Light,Full caffeine,4,Coffee C,Coffee D,Coffee D,I primarily work from home,$40-$60,,Yes,Yes,$6-$8,$8-$10,Yes,$500-$1000,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,1,Independent
KMBrO8,55-64 years old,1,"At home, At the office","Pour over, Espresso, Coffee brewing machine (e.g. Mr. Coffee)",,,,Cortado,,"Milk, dairy alternative, or coffee creamer, No - just black",,Whole milk,Nutty,Medium,Medium,Full caffeine,8,Coffee A,Coffee D,Coffee D,I primarily work from home,$20-$40,,Yes,Yes,$8-$10,$8-$10,Yes,"More than $1,000",Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,1,Democrat
WApa1v,18-24 years old,1,At home,"Pour over, Other",Hario Switch,,,Mocha,,No - just black,,,Chocolatey,Somewhat strong,Medium,Full caffeine,6,Coffee B,Coffee D,Coffee A,I primarily work in person,$20-$40,,Yes,Yes,$6-$8,$10-$15,Yes,$100-$300,Yes,Male,Some college or associate's degree,Hispanic/Latino,Student,None,Independent
bl41gL,25-34 years old,1,"At home, At a cafe, At the office",Pod/capsule machine (e.g. Keurig/Nespresso),,,,Cortado,,No - just black,,,Caramalized,Medium,Italian,Full caffeine,3,Coffee C,Coffee A,Coffee D,I do a mix of both,<$20,,No,No,$6-$8,$8-$10,No,$50-$100,Yes,Female,Bachelor's degree,White/Caucasian,Employed full-time,None,Democrat
EPbovB,25-34 years old,1,On the go,,,"Specialty coffee shop, National chain (e.g. Starbucks, Dunkin)",,Iced coffee,,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",,"Coffee creamer, Flavored coffee creamer, Half and half",Sweet,Somewhat light,Medium,Full caffeine,4,Coffee A,Coffee A,Coffee A,I primarily work in person,$60-$80,,Yes,No,$6-$8,$8-$10,Yes,,,Female,Master's degree,White/Caucasian,Employed full-time,None,Republican
ylq8e8,55-64 years old,3,"At home, At the office",Pour over,,,,Pourover,,"Milk, dairy alternative, or coffee creamer",,Oat milk,Bold,Somewhat strong,Dark,Full caffeine,2,Coffee A,Coffee A,Coffee A,I primarily work in person,$20-$40,,Yes,Yes,$6-$8,$8-$10,No,$100-$300,Yes,Female,Master's degree,Hispanic/Latino,Employed full-time,2,Democrat
24x9ZL,35-44 years old,2,"At home, At the office","Coffee extract (e.g. Cometeer), Espresso",,,,Espresso,,No - just black,,,Fruity,Medium,Medium,Full caffeine,4,Coffee A,Coffee A,Coffee A,I primarily work in person,>$100,,Yes,Yes,$6-$8,$8-$10,Yes,$300-$500,Yes,Male,Doctorate or professional degree,White/Caucasian,Employed full-time,2,Republican
MAdjGM,35-44 years old,2,At home,Pour over,,,,Pourover,,No - just black,,,Fruity,Somewhat light,Light,Full caffeine,5,Coffee C,Coffee D,Coffee D,I primarily work from home,$20-$40,,Yes,Yes,$8-$10,$8-$10,Yes,$100-$300,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,More than 3,Democrat
24x9Zj,35-44 years old,1,At home,Other,Aeropress,,,Other,Aeropress,No - just black,,,Juicy,Somewhat strong,Medium,Full caffeine,2,Coffee A,Coffee A,Coffee A,I primarily work in person,$20-$40,,Yes,Yes,$6-$8,$8-$10,Yes,"More than $1,000",Yes,Male,Master's degree,White/Caucasian,Employed full-time,None,Democrat
rlr8kR,25-34 years old,2,"At the office, At home, At a cafe","Coffee brewing machine (e.g. Mr. Coffee), Cold brew",,,,Cappuccino,,"Milk, dairy alternative, or coffee creamer",,Soy milk,Sweet,Somewhat strong,Light,Full caffeine,3,Coffee C,Coffee D,Coffee C,I do a mix of both,$40-$60,,Yes,No,$6-$8,$8-$10,No,$100-$300,Yes,Female,Bachelor's degree,White/Caucasian,Employed full-time,None,Democrat
g5N8pl,25-34 years old,2,"At the office, At home",Pour over,,,,Cappuccino,,No - just black,,,Floral,Somewhat light,Blonde,Full caffeine,7,Coffee A,Coffee A,Coffee A,I primarily work in person,$40-$60,,Yes,Yes,$10-$15,$6-$8,Yes,$300-$500,Yes,Male,,,,,
rlr8qN,55-64 years old,3,At the office,,,,,Cortado,,No - just black,,,Chocolatey,Somewhat strong,Medium,Full caffeine,5,Coffee C,Coffee A,Coffee C,I primarily work in person,$20-$40,,Yes,Yes,$4-$6,$4-$6,Yes,$50-$100,Yes,Male,,,,,
ylq87g,25-34 years old,1,At home,Pour over,,,,Pourover,,No - just black,,,Floral,Somewhat strong,Light,Full caffeine,8,Coffee C,Coffee A,Coffee C,I do a mix of both,$20-$40,,Yes,Yes,$8-$10,$15-$20,No,$500-$1000,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,None,No affiliation
GrBO7Z,35-44 years old,3,At home,"Espresso, Pour over, Coffee brewing machine (e.g. Mr. Coffee)",,,,Cappuccino,,"No - just black, Milk, dairy alternative, or coffee creamer",,Whole milk,Fruity,Medium,Light,Full caffeine,9,Coffee A,Coffee A,Coffee A,I primarily work from home,>$100,,Yes,Yes,$8-$10,$8-$10,No,"More than $1,000",Yes,Male,Some college or associate's degree,White/Caucasian,Employed full-time,None,Democrat
